country,continent,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Algeria,Africa,25,0,14,0.7
Angola,Africa,217,57,45,5.9
Benin,Africa,34,4,13,1.1
Botswana,Africa,173,35,35,5.4
Burkina Faso,Africa,25,7,7,4.3
Burundi,Africa,88,0,0,6.3
Cote d'Ivoire,Africa,37,1,7,4
Cabo Verde,Africa,144,56,16,4
Cameroon,Africa,147,1,4,5.8
Central African Republic,Africa,17,2,1,1.8
Chad,Africa,15,1,1,0.4
Comoros,Africa,1,3,1,0.1
Congo,Africa,76,1,9,1.7
DR Congo,Africa,32,3,1,2.3
Djibouti,Africa,15,44,3,1.1
Egypt,Africa,6,4,1,0.2
Equatorial Guinea,Africa,92,0,233,5.8
Eritrea,Africa,18,0,0,0.5
Ethiopia,Africa,20,3,0,0.7
Gabon,Africa,347,98,59,8.9
Gambia,Africa,8,0,1,2.4
Ghana,Africa,31,3,10,1.8
Guinea,Africa,9,0,2,0.2
Guinea-Bissau,Africa,28,31,21,2.5
Kenya,Africa,58,22,2,1.8
Tanzania,Africa,36,6,1,5.7
Zambia,Africa,32,19,4,2.5
Zimbabwe,Africa,64,18,4,4.7
Niger,Africa,3,2,1,0.1
Papua New Guinea,Africa,44,39,1,1.5
Lesotho,Africa,82,29,0,2.8
Liberia,Africa,19,152,2,3.1
Libya,Africa,0,0,0,0
Madagascar,Africa,26,15,4,0.8
Malawi,Africa,8,11,1,1.5
Mali,Africa,5,1,1,0.6
Mauritania,Africa,0,0,0,0
Mauritius,Africa,98,31,18,2.6
Morocco,Africa,12,6,10,0.5
Mozambique,Africa,47,18,5,1.3
Namibia,Africa,376,3,1,6.8
Nigeria,Africa,42,5,2,9.1
Uganda,Africa,45,9,0,8.3
Afghanistan,Asia,0,0,0,0
Armenia,Asia,21,179,11,3.8
Azerbaijan,Asia,21,46,5,1.3
Bahrain,Asia,42,63,7,2
Bangladesh,Asia,0,0,0,0
Bhutan,Asia,23,0,0,0.4
Brunei,Asia,31,2,1,0.6
Cambodia,Asia,57,65,1,2.2
China,Asia,79,192,8,5
North Korea,Asia,0,0,0,0
India,Asia,9,114,0,2.2
Indonesia,Asia,5,1,0,0.1
Iran,Asia,0,0,0,0
Iraq,Asia,9,3,0,0.2
Israel,Asia,63,69,9,2.5
Japan,Asia,77,202,16,7
Jordan,Asia,6,21,1,0.5
Kazakhstan,Asia,124,246,12,6.8
Uzbekistan,Asia,25,101,8,2.4
